t,p_without_ev,diff,p
2016-01-01 00:00:00,0.276685,0,0.276685
2016-01-01 01:00:00,0.108146,0,0.108146
2016-01-01 02:00:00,0.08427,0,0.08427
2016-01-01 03:00:00,0.039326,0,0.039326
2016-01-01 04:00:00,0.042135,0,0.042135
2016-01-01 05:00:00,0.021067,0,0.021067
2016-01-01 06:00:00,0.08427,0,0.08427
2016-01-01 07:00:00,0.206461,0,0.206461
2016-01-01 08:00:00,0.20927,0,0.20927
2016-01-01 09:00:00,0.210674,0,0.210674
2016-01-01 10:00:00,0.195225,0,0.195225
2016-01-01 11:00:00,0.205056,0,0.205056
2016-01-01 12:00:00,0.602528,0,0.602528
2016-01-01 13:00:00,0.439607,0,0.439607
2016-01-01 14:00:00,0.464888,0,0.464888
2016-01-01 15:00:00,0.63764,0,0.63764
2016-01-01 16:00:00,0.33427,0,0.33427
2016-01-01 17:00:00,0.463483,0,0.463483
2016-01-01 18:00:00,0.301966,0,0.301966
2016-01-01 19:00:00,0.356742,0,0.356742
2016-01-01 20:00:00,0.304775,0.000999999999976,0.305774999999976
2016-01-01 21:00:00,0.280899,0,0.280899
2016-01-01 22:00:00,0.245787,0,0.245787
2016-01-01 23:00:00,0.161517,0,0.161517
2016-01-02 00:00:00,0.143258,0,0.143258
2016-01-02 01:00:00,0.061798,0,0.061798
2016-01-02 02:00:00,0.025281,0,0.025281
2016-01-02 03:00:00,0.033708,0,0.033708
2016-01-02 04:00:00,0.033708,0,0.033708
2016-01-02 05:00:00,0.022472,0,0.022472
2016-01-02 06:00:00,0.037921,0,0.037921
2016-01-02 07:00:00,0.22191,0,0.22191
2016-01-02 08:00:00,0.247191,0,0.247191
2016-01-02 09:00:00,0.196629,0,0.196629
2016-01-02 10:00:00,0.470506,0.153999999999996,0.624505999999996
2016-01-02 11:00:00,0.526685,1.18700000000001,1.71368500000001
2016-01-02 12:00:00,0.273876,1.77199999999999,2.04587599999999
2016-01-02 13:00:00,0.282303,0.623000000000019,0.905303000000019
2016-01-02 14:00:00,0.457865,0,0.457865
2016-01-02 15:00:00,0.382022,1.285,1.667022
2016-01-02 16:00:00,0.660112,0,0.660112
2016-01-02 17:00:00,0.668539,0,0.668539
2016-01-02 18:00:00,0.216292,0,0.216292
2016-01-02 19:00:00,0.502809,0,0.502809
2016-01-02 20:00:00,0.275281,0,0.275281
2016-01-02 21:00:00,0.266854,0,0.266854
2016-01-02 22:00:00,0.325843,0,0.325843
2016-01-02 23:00:00,0.157303,0,0.157303
2016-01-03 00:00:00,0.06882,0,0.06882
2016-01-03 01:00:00,0.037921,0,0.037921
2016-01-03 02:00:00,0.030899,0,0.030899
2016-01-03 03:00:00,0.033708,0,0.033708
2016-01-03 04:00:00,0.021067,0,0.021067
2016-01-03 05:00:00,0.049157,0,0.049157
2016-01-03 06:00:00,0.089888,0,0.089888
2016-01-03 07:00:00,0.224719,0,0.224719
2016-01-03 08:00:00,0.198034,0,0.198034
2016-01-03 09:00:00,0.226124,0.918999999999983,1.14512399999998
2016-01-03 10:00:00,0.337079,1.90800000000002,2.24507900000002
2016-01-03 11:00:00,0.384831,1.84,2.224831
2016-01-03 12:00:00,0.338483,1.90099999999998,2.23948299999998
2016-01-03 13:00:00,0.282303,0.715000000000003,0.997303000000003
2016-01-03 14:00:00,0.311798,0.391999999999996,0.703797999999996
2016-01-03 15:00:00,0.533708,1.02200000000002,1.55570800000002
2016-01-03 16:00:00,0.547753,0,0.547753
2016-01-03 17:00:00,0.686798,0,0.686798
2016-01-03 18:00:00,0.379213,0,0.379213
2016-01-03 19:00:00,0.40309,0,0.40309
2016-01-03 20:00:00,0.212079,0,0.212079
2016-01-03 21:00:00,0.401685,0,0.401685
2016-01-03 22:00:00,0.219101,0,0.219101
2016-01-03 23:00:00,0.150281,0,0.150281
2016-01-04 00:00:00,0.071629,0,0.071629
2016-01-04 01:00:00,0.119382,0,0.119382
2016-01-04 02:00:00,0.091292,0,0.091292
2016-01-04 03:00:00,0.106742,0,0.106742
2016-01-04 04:00:00,0.074438,0,0.074438
2016-01-04 05:00:00,0.070225,0,0.070225
2016-01-04 06:00:00,0.18118,0,0.18118
2016-01-04 07:00:00,0.254213,0,0.254213
2016-01-04 08:00:00,0.358146,0,0.358146
2016-01-04 09:00:00,0.168539,1.51599999999999,1.68453899999999
2016-01-04 10:00:00,0.206461,1.792,1.998461
2016-01-04 11:00:00,0.327247,1.14599999999999,1.47324699999999
2016-01-04 12:00:00,0.384831,0.400000000000006,0.784831000000006
2016-01-04 13:00:00,0.428371,0,0.428371
2016-01-04 14:00:00,0.273876,0,0.273876
2016-01-04 15:00:00,0.380618,0,0.380618
2016-01-04 16:00:00,0.214888,0,0.214888
2016-01-04 17:00:00,0.245787,0,0.245787
2016-01-04 18:00:00,0.219101,0,0.219101
2016-01-04 19:00:00,0.273876,0,0.273876
2016-01-04 20:00:00,0.258427,0,0.258427
2016-01-04 21:00:00,0.509831,0,0.509831
2016-01-04 22:00:00,0.323034,0,0.323034
2016-01-04 23:00:00,0.108146,0,0.108146
2016-01-05 00:00:00,0.073034,0.620000000000005,0.693034000000005
2016-01-05 01:00:00,0.125,0.004999999999995,0.129999999999995
2016-01-05 02:00:00,0.103933,0,0.103933
2016-01-05 03:00:00,0.108146,0,0.108146
2016-01-05 04:00:00,0.182584,0,0.182584
2016-01-05 05:00:00,0.147472,0,0.147472
2016-01-05 06:00:00,0.095506,0,0.095506
2016-01-05 07:00:00,0.205056,0,0.205056
2016-01-05 08:00:00,0.448034,0,0.448034
2016-01-05 09:00:00,0.268258,0,0.268258
2016-01-05 10:00:00,0.230337,0,0.230337
2016-01-05 11:00:00,0.210674,0,0.210674
2016-01-05 12:00:00,0.217697,0.001000000000005,0.218697000000005
2016-01-05 13:00:00,0.349719,0,0.349719
2016-01-05 14:00:00,0.18118,0,0.18118
